Id,Name,Address,Latitude,Longitude,Total_no_votes,Current_no_votants
1,"COLEGIUL NATIONAL ""MIHAI EMINESCU""",STR. GEORGE GEORGESCU NR. 2,44.425796,26.095769,0,0
2,GRADINITA NR. 224,STR. GRAMONT NR. 25,44.422589,26.080300,0,0
3,"COLEGIUL NATIONAL ""GHEORGHE LAZAR""",BD. REGINA ELISABETA NR. 48,44.434590,26.090234,0,0
4,"COLEGIUL TEHNIC DE ARHITECTURA SI LUCRĂRI PUBLICE ""IOAN N. SOCOLESCU""",STR. OCCIDENTULUI NR.12,44.447552,26.083655,0,0
5,SCOALA NR. 24,STR. TUNARI NR. 52,44.450680,26.106130,0,0
6,"COLEGIUL NATIONAL ""MATEI BASARAB""",STR. MATEI BASARAB NR. 32,44.430469,26.112990,0,0
7,"GRUP SCOLAR INDUSTRIAL ""TIMPURI NOI""","SOSEAUA MIHAI BRAVU NR. 428 CORP.""B""",44.423074,26.137104,0,0
8,"SCOALA GIMNAZIALA NR. 20 ""MĂRTIŞOR""",STR. MĂRŢIŞOR NR. 39,44.397629,26.116474,0,0
9,SCOALA NR. 26,STR. COBILITEI NR. 8,44.448732,26.118210,0,0
10,"SCOALA CU CLASELE I-VIII NR. 127 ""REPUBLICA PERU""",STR. MUNTII CARPAŢI NR. 72,44.4354301,26.0156757,0,0
11,"SCOALA CU CLASELE I-VIII NR. 150 ""SF.ELEFTERIE""",BD. EROII SANITARI NR. 29-31,44.432587,26.070078,0,0
12,CLUBUL SPORTIV SCOLAR NR. 5,CAL. PLEVNEI NR. 124,44.4414748,26.0722654,0,0
13,SCOALA GENERALA NR. 193,STR. MIHAELA RUXANDRA MARCU NR. 3,44.427413,26.051100,0,0
14,"LICEUL TEORETIC ""GRIGORE MOISIL""",B-DUL TIMISOARA NR. 33,44.427010,26.041190,0,0
15,"LICEUL ORTODOX ""SF. ANTIM IVIREANU""",ALEEA POIANA MUNTELUI NR. 1,44.423945,26.029919,0,0
16,"SCOALA CU CLASELE I-VIII NR. 310 ""REGELE MIHAI I""",STR. ROŞIA MONTANA NR. 42,44.438640,26.023747,0,0
17,"LICEUL TEORETIC ""NICOLAE IORGA""",BLD. MIHALACHE ION NR. 126,44.464308,26.069893,0,0
18,"LICEUL TEORETIC ""JEAN MONNET""",STR. JEAN MONNET NR. 2,44.466120,26.092891,0,0
19,"COLEGIUL NATIONAL “CANTEMIR VODA” ",STR. VIITORULUI NR. 60,44.445590,26.112570,0,0
20,"COLEGIUL NATIONAL ""IULIA HASDEU""",BD. FERDINAND I NR. 91,44.443405,26.128439,0,0
21,"SCOALA NR. 75 ""LEONARDO DA VINCI""",STR. GHE. PETRAŞCU (FOSTA STR. CAPORAL RUICĂ) NR. 49,44.430348,26.147506,0,0
22,SCOALA NR. 200,STR. POSTAVARUL NR. 13,44.418165,26.170730,0,0
23,"SCOALA NR. 20 ""SIMION MEHEDINTI""",STR. PREVEDERII NR. 19,44.407950,26.174730,0,0
24,"LICEUL TEHNOLOGIC ""MIRCEA VULCANESCU""",STR. IZVORUL CRISULUI NR. 4,44.384971,26.106967,0,0
25,SCOALA GIMNAZIALA NR. 308,TR. RAUL ŞOIMULUI NR. 8,44.392045,26.109271,0,0
26,"GRADINITA ""ALBĂ CA ZĂPADA SI PITICII""",INTRAREA CRIŞUL ALB NR. 30,44.394150,26.099582,0,0
27,GRADINITA NR. 244,STR. HUMULESTI NR. 31,44.394735,26.069950,0,0
28,"GRADINITA NR. 55""FLOAREA SOARELUI""",STR. MĂRGEANULUI NR. 81,44.413766,26.061350,0,0
29,"LICEUL TEORETIC ""TUDOR VLADIMIRESCU""",B-DUL IULIU MANIU NR. 15,44.434245,26.042844,0,0
30,"SCOALA CU CLASELE NR. I-VIII NR. 156 ""SF. GHEORGHE""",STR. DEALUL TUGULEA NR. 35,44.436972,26.028967,0,0
31,"LICEUL TEORETIC ""MARIN PREDA""",STR. RUSETU NR. 17,44.459496,26.042698,0,0
32,SCOALA CU CLASELE I-VIII NR. 153,DRM. SABĂRENI NR.21,44.472881,26.015813,0,0
33,SCOALA CU CLASELE I-VIII NR. 179,STR. ARDEALULUI NR.34,44.489110,26.039053,0,0
34,"SCOALA NR. 30 ""GRIGORE GHICA VOIEVOD""",STR. LAPTARI TEI NR. 23,44.463461,26.128621,0,0
35,"COLEGIUL TEHNIC ""PETRU RARES""",STR. V.V. STANCIU NR. 6,44.4130412,26.1160893,0,0
36,"GRUP SCOLAR CONSTRUCTII MONTAJ ""ELIE RADU""",B-DUL ENERGETICIENILOR NR. 5,44.407906,26.142955,0,0
37,SCOALA NR. 25,STR. SILVIA NR. 54,44.455073,26.135848,0,0
38,"SCOALA NR. 84 ""NICOLAE BALCESCU""",CALEA VITAN NR. 135,44.415594,26.131948,0,0
39,SCOALA NR. 81,STR. NERVA TRAIAN NR. 33,44.419994,26.114307,0,0
40,"COLEGIUL TEHNOLOGIC ""GRIGORE CERCHEZ""",CALEA SERBAN VODA NR. 280,44.406189,26.094759,0,0
41,SCOALA GIMNAZIALA NR. 97,STR. VIORELE NR. 7,44.414452,26.111151,0,0
